StartMethod,StartNumber,Odds,Track,Firstprize,Distance,Front,Back,Driver,LastPlace,LastStart,Season,TrackCondition,Place
auto,1,1227,Mantorp,12500000,2140,true,true,Osc Ke,2,21,SPRING,light,0
auto,2,508,Mantorp,12500000,2140,true,true,Wid Ka,16,14,SPRING,light,0
auto,3,7818,Mantorp,12500000,2140,true,true,And OJ,7,23,SPRING,light,0
auto,4,728,Mantorp,12500000,2140,true,true,Adi Er,7,14,SPRING,light,0
auto,5,275,Mantorp,12500000,2140,true,true,Jep CJ,7,21,SPRING,light,0
auto,6,2732,Mantorp,12500000,2140,true,true,Uhr Th,3,24,SPRING,light,0
auto,7,1097,Mantorp,12500000,2140,true,true,Kih Ör,2,14,SPRING,light,0
auto,8,881,Mantorp,12500000,2140,true,true,Ohl Ul,2,23,SPRING,light,0
auto,9,1147,Mantorp,12500000,2140,true,true,Pöl Ra,3,14,SPRING,light,0
auto,10,1409,Mantorp,12500000,2140,true,true,Paa Wi,2,21,SPRING,light,0
auto,11,2838,Mantorp,12500000,2140,true,true,And MJ,3,35,SPRING,light,0
auto,12,4079,Mantorp,12500000,2140,true,true,Nor PG,7,14,SPRING,light,0
