StartMethod,StartNumber,Odds,Track,Firstprize,Distance,Front,Back,Driver,LastPlace,LastStart,Season,TrackCondition,Place
volte,1,2910,Mantorp,12500000,3640,true,true,Eri Ki,7,50,SPRING,light,0
volte,2,4676,Mantorp,12500000,3640,true,true,Sva Os,4,50,SPRING,light,0
volte,3,7567,Mantorp,12500000,3640,true,true,Kar Pe,5,7,SPRING,light,0
volte,4,2457,Mantorp,12500000,3640,true,true,Wid Ka,5,88,SPRING,light,0
volte,5,1084,Mantorp,12500000,3640,true,true,Kih Ör,7,22,SPRING,light,0
volte,6,4622,Mantorp,12500000,3640,true,true,Sve Cl,7,30,SPRING,light,0
volte,7,684,Mantorp,12500000,3640,true,true,Kol Lu,2,28,SPRING,light,0
volte,8,5905,Mantorp,12500000,3640,true,true,Kon Jo,5,14,SPRING,light,0
volte,9,1990,Mantorp,12500000,3640,true,true,Uhr Th,3,21,SPRING,light,0
volte,10,225,Mantorp,12500000,3640,true,true,Jep CJ,1,42,SPRING,light,0
volte,11,269,Mantorp,12500000,3640,true,true,Ohl Ul,16,21,SPRING,light,0
