StartMethod,StartNumber,Odds,Track,Firstprize,Distance,Front,Back,Driver,LastPlace,LastStart,Season,TrackCondition,Place
volte,1,2364,Mantorp,12500000,2140,true,true,Arn Pe,16,12,SPRING,light,0
volte,2,1167,Mantorp,12500000,2140,true,true,Car Jo,1,33,SPRING,light,0
volte,3,1489,Mantorp,12500000,2140,true,true,Söd St,5,21,SPRING,light,0
volte,4,2026,Mantorp,12500000,2140,true,true,Jep CJ,1,19,SPRING,light,0
volte,5,3262,Mantorp,12500000,2140,true,true,Nie MH,16,14,SPRING,light,0
volte,6,740,Mantorp,12500000,2140,true,true,Wid Ka,3,14,SPRING,light,0
volte,7,863,Mantorp,12500000,2140,true,true,Ohl Ul,4,10,SPRING,light,0
volte,8,322,Mantorp,12500000,2140,true,true,Kih Ör,1,28,SPRING,light,0
volte,9,708,Mantorp,12500000,2140,true,true,Unt Jo,2,16,SPRING,light,0
volte,10,605,Mantorp,12500000,2140,true,true,Löv Jo,1,18,SPRING,light,0
volte,11,2134,Mantorp,12500000,2140,true,true,Dal Th,1,26,SPRING,light,0
volte,12,1645,Mantorp,12500000,2140,true,true,Unt Pe,3,16,SPRING,light,0
