StartMethod,StartNumber,Odds,Track,Firstprize,Distance,Front,Back,Driver,LastPlace,LastStart,Season,TrackCondition,Place
auto,1,1016,Mantorp,15000000,2140,true,true,Unt Jo,1,14,SPRING,light,0
auto,2,1498,Mantorp,15000000,2140,true,true,Paa Wi,7,21,SPRING,light,0
auto,3,824,Mantorp,15000000,2140,true,true,Kon Jo,7,14,SPRING,light,0
auto,4,5727,Mantorp,15000000,2140,true,true,Lin Mi,7,28,SPRING,light,0
auto,5,2063,Mantorp,15000000,2140,true,true,Jan To,3,14,SPRING,light,0
auto,6,382,Mantorp,15000000,2140,true,true,Tak Jo,1,35,SPRING,light,0
auto,7,4535,Mantorp,15000000,2140,true,true,Wid Ka,4,40,SPRING,light,0
auto,8,3184,Mantorp,15000000,2140,true,true,And OJ,7,175,SPRING,light,0
auto,9,8701,Mantorp,15000000,2140,true,true,Car SS,6,14,SPRING,light,0
auto,10,1014,Mantorp,15000000,2140,true,true,Mal Ro,1,18,SPRING,light,0
auto,11,1018,Mantorp,15000000,2140,true,true,Jep CJ,7,49,SPRING,light,0
auto,12,267,Mantorp,15000000,2140,true,true,Unt Pe,5,119,SPRING,light,0
