StartMethod,StartNumber,Odds,Track,Firstprize,Distance,Front,Back,Driver,LastPlace,LastStart,Season,TrackCondition,Place
auto,1,495,Mantorp,12500000,1640,true,true,Löv Jo,1,12,SPRING,light,0
auto,2,997,Mantorp,12500000,1640,true,true,Unt Pe,7,35,SPRING,light,0
auto,3,334,Mantorp,12500000,1640,true,true,Kih Ör,16,14,SPRING,light,0
auto,4,1713,Mantorp,12500000,1640,true,true,Osc Ke,7,21,SPRING,light,0
auto,5,2431,Mantorp,12500000,1640,true,true,Sjö Cl,16,14,SPRING,light,0
auto,6,844,Mantorp,12500000,1640,true,true,Unt Jo,3,14,SPRING,light,0
auto,7,1894,Mantorp,12500000,1640,true,true,Hau Ke,2,24,SPRING,light,0
auto,8,884,Mantorp,12500000,1640,true,true,Kon Jo,1,27,SPRING,light,0
auto,9,1583,Mantorp,12500000,1640,true,true,Paa Wi,4,31,SPRING,light,0
auto,10,1149,Mantorp,12500000,1640,true,true,And OJ,4,14,SPRING,light,0
auto,11,2881,Mantorp,12500000,1640,true,true,Kol Lu,4,18,SPRING,light,0
auto,12,1245,Mantorp,12500000,1640,true,true,Wid Ka,1,17,SPRING,light,0
