StartMethod,StartNumber,Odds,Track,Firstprize,Distance,Front,Back,Driver,LastPlace,LastStart,Season,TrackCondition,Place
volte,6,260,Romme,3500000,2140,true,true,Kih Ör,7,7,WINTER,light,1
auto,3,300,Solvalla,4000000,2140,true,true,Kih Ör,1,19,SPRING,light,2
auto,5,140,Solvalla,5000000,2140,true,true,Kih Ör,2,14,SPRING,light,1
auto,5,500,Solvalla,10000000,2140,true,true,Kih Ör,1,6,SPRING,light,2
auto,8,980,Örebro,7000000,2100,true,true,Kih Ör,2,15,SPRING,light,5
auto,6,340,Mantorp,3500000,2140,true,true,Kih Ör,5,53,SUMMER,light,4
auto,7,970,Romme,8000000,2140,true,false,Kih Ör,4,8,SUMMER,light,7
auto,3,7120,Eskilstuna,8000000,1640,true,true,Hau Ke,16,45,SUMMER,light,7
auto,11,1940,Mantorp,3500000,2140,true,true,Adi Er,7,14,SUMMER,light,6
auto,2,2570,Solvalla,6000000,2140,true,true,Kih Ör,6,44,AUTUMN,light,7
auto,6,11960,Solvalla,10000000,2140,false,false,Hau Ke,7,18,AUTUMN,light,7
volte,5,490,Solvalla,3000000,2160,true,true,Kih Ör,16,124,SPRING,dead,2
volte,3,370,Solvalla,3000000,2160,true,true,Kih Ör,2,7,SPRING,light,2
auto,8,860,Eskilstuna,3000000,2140,true,true,Kih Ör,2,32,SPRING,light,7
auto,4,410,Eskilstuna,2500000,1640,true,true,Ärl Ti,16,19,SUMMER,light,2
auto,9,470,Solvalla,2000000,2140,true,true,Ärl Ti,2,10,SUMMER,light,6
auto,1,880,Solvalla,3000000,2140,true,true,Kih Ör,6,17,SUMMER,light,7
auto,7,440,Örebro,2500000,1609,false,false,Kih Ör,7,13,SUMMER,light,3
auto,8,1170,Örebro,2500000,1609,false,false,Kih Ör,3,9,SUMMER,light,4
volte,7,2280,Jägersro,10000000,2660,false,false,Adi Er,4,14,AUTUMN,light,7
auto,10,960,Solvalla,3000000,1640,false,true,Kih Ör,7,13,AUTUMN,light,3
auto,6,470,Solvalla,4000000,2140,false,true,Kih Ör,3,12,AUTUMN,light,1
auto,10,400,Solvalla,3000000,2640,false,false,Kih Ör,1,23,AUTUMN,light,6
auto,8,1000,Solvalla,6000000,1640,false,false,Kih Ör,6,12,AUTUMN,light,2
auto,1,960,Bergsåker,10000000,1640,false,true,Kih Ör,2,10,AUTUMN,light,2
auto,6,360,Gävle,10000000,1640,false,true,Kih Ör,2,15,AUTUMN,light,7
auto,7,2050,Färjestad,10000000,2140,true,true,Kih Ör,7,13,WINTER,dead,3
auto,1,840,Solvalla,20000000,2140,true,true,Kih Ör,3,16,WINTER,light,7
auto,2,260,Romme,10000000,2140,true,true,Kih Ör,7,12,WINTER,light,5
auto,5,790,Färjestad,10000000,1640,true,true,Kih Ör,5,14,WINTER,light,5
volte,3,970,Bergsåker,10000000,2140,true,true,Hau Ke,5,7,WINTER,light,6
auto,6,2490,Solvalla,20000000,2140,true,true,Kih Ör,6,14,WINTER,light,5
auto,3,500,Solvalla,6000000,1640,true,true,Kih Ör,5,11,WINTER,light,2
auto,8,320,Solvalla,4000000,2140,false,true,Kih Ör,2,14,SPRING,light,1
auto,7,2950,Mantorp,11000000,1640,false,true,Kih Ör,1,17,SPRING,light,7
auto,7,2230,Solvalla,6000000,1640,false,true,Kih Ör,7,10,SPRING,light,6
volte,3,170,Gävle,3000000,1660,false,true,Kih Ör,6,10,SPRING,light,3
auto,3,850,Solvalla,4000000,2140,false,true,Kih Ör,3,25,SPRING,light,5
auto,11,1560,Gävle,11000000,1640,false,true,Kih Ör,5,10,SPRING,light,2
auto,5,1920,Bergsåker,20000000,2140,false,false,Kih Ör,2,42,SUMMER,light,6
volte,4,1760,Årjäng,11000000,2640,false,false,Kih Ör,6,14,SUMMER,light,7
auto,11,2530,Axevalla,11000000,2140,false,false,Kih Ör,7,7,SUMMER,light,7
auto,12,7570,Rättvik,11000000,1640,false,false,Hau Ke,7,14,SUMMER,light,7
volte,5,2400,Romme,11000000,2140,false,true,Kih Ör,7,14,SUMMER,light,6
auto,1,500,Solvalla,4000000,1640,false,false,Bra Kj,6,25,AUTUMN,light,5
auto,6,520,Mantorp,3000000,2140,true,true,Kih Ör,5,12,AUTUMN,light,3
auto,11,1050,Mantorp,3000000,1640,true,true,Hau Ke,3,14,AUTUMN,light,1
auto,7,1100,Solvalla,6000000,1640,true,true,Hau Ke,1,9,AUTUMN,light,4
auto,4,730,Solvalla,3500000,2140,true,true,Kih Ör,4,18,AUTUMN,light,3
auto,2,260,Bergsåker,6000000,1640,true,true,Eri Ul,3,10,AUTUMN,light,1
auto,1,290,Mantorp,4000000,2140,true,true,Kih Ör,1,11,AUTUMN,light,3
auto,5,1460,Åby,11000000,1640,true,true,Kih Ör,3,13,WINTER,light,5
volte,1,160,Solvalla,3000000,1660,true,true,Kih Ör,5,20,WINTER,light,2
volte,7,720,Bergsåker,12500000,2140,true,true,Kih Ör,2,8,WINTER,light,4
auto,7,2060,Romme,12500000,1640,true,true,Kih Ör,4,14,WINTER,light,7
auto,2,640,Solvalla,6000000,1640,true,true,Hau Ke,7,11,WINTER,dead,3
auto,9,3010,Solvalla,25000000,2140,true,true,Kih Ör,3,10,WINTER,light,7
volte,5,4350,Solvalla,20000000,2140,true,true,Kih Ör,7,14,WINTER,light,5
volte,8,2880,Eskilstuna,12500000,2140,false,true,Kih Ör,5,14,SPRING,light,2
